date,country,region,region_id,client_visits
2024-01-01,Kenya,Nairobi,Kenya: Nairobi,131
2024-01-01,Kenya,Coast,Kenya: Coast,108
2024-01-01,Kenya,Rift Valley,Kenya: Rift Valley,123
2024-01-01,Nigeria,Lagos,Nigeria: Lagos,165
2024-01-01,Nigeria,Kano,Nigeria: Kano,156
2024-01-01,Nigeria,Rivers,Nigeria: Rivers,154
2024-01-01,Uganda,Central,Uganda: Central,126
2024-01-01,Uganda,Western,Uganda: Western,100
2024-01-01,Uganda,Eastern,Uganda: Eastern,95
2024-01-01,Ghana,Greater Accra,Ghana: Greater Accra,106
2024-01-01,Ghana,Ashanti,Ghana: Ashanti,100
2024-01-01,Ghana,Northern,Ghana: Northern,107
2024-01-01,Ethiopia,Addis Ababa,Ethiopia: Addis Ababa,84
2024-01-01,Ethiopia,Oromia,Ethiopia: Oromia,69
2024-01-01,Ethiopia,Amhara,Ethiopia: Amhara,77
2024-01-01,Rwanda,Kigali,Rwanda: Kigali,77
2024-01-01,Rwanda,Northern,Rwanda: Northern,68
2024-01-01,Rwanda,Southern,Rwanda: Southern,85
2024-01-01,Malawi,Lilongwe,Malawi: Lilongwe,68
2024-01-01,Malawi,Blantyre,Malawi: Blantyre,55
2024-01-01,Malawi,Mzuzu,Malawi: Mzuzu,86
2024-01-01,Tanzania,Dar es Salaam,Tanzania: Dar es Salaam,108
2024-01-01,Tanzania,Mbeya,Tanzania: Mbeya,103
2024-01-01,Tanzania,Mwanza,Tanzania: Mwanza,84
2024-01-02,Kenya,Nairobi,Kenya: Nairobi,119
2024-01-02,Kenya,Coast,Kenya: Coast,112
2024-01-02,Kenya,Rift Valley,Kenya: Rift Valley,103
2024-01-02,Nigeria,Lagos,Nigeria: Lagos,150
2024-01-02,Nigeria,Kano,Nigeria: Kano,151
2024-01-02,Nigeria,Rivers,Nigeria: Rivers,154
2024-01-02,Uganda,Central,Uganda: Central,103
2024-01-02,Uganda,Western,Uganda: Western,110
2024-01-02,Uganda,Eastern,Uganda: Eastern,100
2024-01-02,Ghana,Greater Accra,Ghana: Greater Accra,90
2024-01-02,Ghana,Ashanti,Ghana: Ashanti,114
2024-01-02,Ghana,Northern,Ghana: Northern,99
2024-01-02,Ethiopia,Addis Ababa,Ethiopia: Addis Ababa,84
2024-01-02,Ethiopia,Oromia,Ethiopia: Oromia,69
2024-01-02,Ethiopia,Amhara,Ethiopia: Amhara,81
2024-01-02,Rwanda,Kigali,Rwanda: Kigali,83
2024-01-02,Rwanda,Northern,Rwanda: Northern,82
2024-01-02,Rwanda,Southern,Rwanda: Southern,84
2024-01-02,Malawi,Lilongwe,Malawi: Lilongwe,75
2024-01-02,Malawi,Blantyre,Malawi: Blantyre,62
2024-01-02,Malawi,Mzuzu,Malawi: Mzuzu,64
2024-01-02,Tanzania,Dar es Salaam,Tanzania: Dar es Salaam,103
2024-01-02,Tanzania,Mbeya,Tanzania: Mbeya,99
2024-01-02,Tanzania,Mwanza,Tanzania: Mwanza,110
2024-01-03,Kenya,Nairobi,Kenya: Nairobi,131
2024-01-03,Kenya,Coast,Kenya: Coast,92
2024-01-03,Kenya,Rift Valley,Kenya: Rift Valley,121
2024-01-03,Nigeria,Lagos,Nigeria: Lagos,140
2024-01-03,Nigeria,Kano,Nigeria: Kano,151
2024-01-03,Nigeria,Rivers,Nigeria: Rivers,170
2024-01-03,Uganda,Central,Uganda: Central,122
2024-01-03,Uganda,Western,Uganda: Western,103
2024-01-03,Uganda,Eastern,Uganda: Eastern,92
2024-01-03,Ghana,Greater Accra,Ghana: Greater Accra,99
2024-01-03,Ghana,Ashanti,Ghana: Ashanti,110
2024-01-03,Ghana,Northern,Ghana: Northern,125
2024-01-03,Ethiopia,Addis Ababa,Ethiopia: Addis Ababa,79
2024-01-03,Ethiopia,Oromia,Ethiopia: Oromia,85
2024-01-03,Ethiopia,Amhara,Ethiopia: Amhara,84
2024-01-03,Rwanda,Kigali,Rwanda: Kigali,72
2024-01-03,Rwanda,Northern,Rwanda: Northern,83
2024-01-03,Rwanda,Southern,Rwanda: Southern,95
2024-01-03,Malawi,Lilongwe,Malawi: Lilongwe,76
2024-01-03,Malawi,Blantyre,Malawi: Blantyre,71
2024-01-03,Malawi,Mzuzu,Malawi: Mzuzu,79
2024-01-03,Tanzania,Dar es Salaam,Tanzania: Dar es Salaam,105
2024-01-03,Tanzania,Mbeya,Tanzania: Mbeya,108
2024-01-03,Tanzania,Mwanza,Tanzania: Mwanza,115
2024-01-04,Kenya,Nairobi,Kenya: Nairobi,128
2024-01-04,Kenya,Coast,Kenya: Coast,130
2024-01-04,Kenya,Rift Valley,Kenya: Rift Valley,87
2024-01-04,Nigeria,Lagos,Nigeria: Lagos,159
2024-01-04,Nigeria,Kano,Nigeria: Kano,165
2024-01-04,Nigeria,Rivers,Nigeria: Rivers,157
2024-01-04,Uganda,Central,Uganda: Central,112
2024-01-04,Uganda,Western,Uganda: Western,76
2024-01-04,Uganda,Eastern,Uganda: Eastern,100
2024-01-04,Ghana,Greater Accra,Ghana: Greater Accra,107
2024-01-04,Ghana,Ashanti,Ghana: Ashanti,123
2024-01-04,Ghana,Northern,Ghana: Northern,108
2024-01-04,Ethiopia,Addis Ababa,Ethiopia: Addis Ababa,77
2024-01-04,Ethiopia,Oromia,Ethiopia: Oromia,83
2024-01-04,Ethiopia,Amhara,Ethiopia: Amhara,104
2024-01-04,Rwanda,Kigali,Rwanda: Kigali,86
2024-01-04,Rwanda,Northern,Rwanda: Northern,74
2024-01-04,Rwanda,Southern,Rwanda: Southern,88
2024-01-04,Malawi,Lilongwe,Malawi: Lilongwe,78
2024-01-04,Malawi,Blantyre,Malawi: Blantyre,72
2024-01-04,Malawi,Mzuzu,Malawi: Mzuzu,71
2024-01-04,Tanzania,Dar es Salaam,Tanzania: Dar es Salaam,110
2024-01-04,Tanzania,Mbeya,Tanzania: Mbeya,101
2024-01-04,Tanzania,Mwanza,Tanzania: Mwanza,86
2024-01-05,Kenya,Nairobi,Kenya: Nairobi,133
2024-01-05,Kenya,Coast,Kenya: Coast,116
2024-01-05,Kenya,Rift Valley,Kenya: Rift Valley,120
2024-01-05,Nigeria,Lagos,Nigeria: Lagos,145
2024-01-05,Nigeria,Kano,Nigeria: Kano,142
2024-01-05,Nigeria,Rivers,Nigeria: Rivers,156
2024-01-05,Uganda,Central,Uganda: Central,109
2024-01-05,Uganda,Western,Uganda: Western,88
2024-01-05,Uganda,Eastern,Uganda: Eastern,101
2024-01-05,Ghana,Greater Accra,Ghana: Greater Accra,108
2024-01-05,Ghana,Ashanti,Ghana: Ashanti,129
2024-01-05,Ghana,Northern,Ghana: Northern,118
2024-01-05,Ethiopia,Addis Ababa,Ethiopia: Addis Ababa,87
2024-01-05,Ethiopia,Oromia,Ethiopia: Oromia,87
2024-01-05,Ethiopia,Amhara,Ethiopia: Amhara,78
2024-01-05,Rwanda,Kigali,Rwanda: Kigali,84
2024-01-05,Rwanda,Northern,Rwanda: Northern,79
2024-01-05,Rwanda,Southern,Rwanda: Southern,106
2024-01-05,Malawi,Lilongwe,Malawi: Lilongwe,76
2024-01-05,Malawi,Blantyre,Malawi: Blantyre,68
2024-01-05,Malawi,Mzuzu,Malawi: Mzuzu,77
2024-01-05,Tanzania,Dar es Salaam,Tanzania: Dar es Salaam,101
2024-01-05,Tanzania,Mbeya,Tanzania: Mbeya,118
2024-01-05,Tanzania,Mwanza,Tanzania: Mwanza,110
2024-01-06,Kenya,Nairobi,Kenya: Nairobi,169
2024-01-06,Kenya,Coast,Kenya: Coast,125
2024-01-06,Kenya,Rift Valley,Kenya: Rift Valley,166
2024-01-06,Nigeria,Lagos,Nigeria: Lagos,155
2024-01-06,Nigeria,Kano,Nigeria: Kano,212
2024-01-06,Nigeria,Rivers,Nigeria: Rivers,241
2024-01-06,Uganda,Central,Uganda: Central,123
2024-01-06,Uganda,Western,Uganda: Western,109
2024-01-06,Uganda,Eastern,Uganda: Eastern,126
2024-01-06,Ghana,Greater Accra,Ghana: Greater Accra,120
2024-01-06,Ghana,Ashanti,Ghana: Ashanti,111
2024-01-06,Ghana,Northern,Ghana: Northern,141
2024-01-06,Ethiopia,Addis Ababa,Ethiopia: Addis Ababa,92
2024-01-06,Ethiopia,Oromia,Ethiopia: Oromia,112
2024-01-06,Ethiopia,Amhara,Ethiopia: Amhara,106
2024-01-06,Rwanda,Kigali,Rwanda: Kigali,118
2024-01-06,Rwanda,Northern,Rwanda: Northern,88
2024-01-06,Rwanda,Southern,Rwanda: Southern,100
2024-01-06,Malawi,Lilongwe,Malawi: Lilongwe,102
2024-01-06,Malawi,Blantyre,Malawi: Blantyre,70
2024-01-06,Malawi,Mzuzu,Malawi: Mzuzu,96
