Record_id,Date,Year_month,Country,Region,Facility_id,Facility_type,Service_type,Client_age_group,Client_gender,Visit_volume,Direct_cost_usd,Indirect_cost_usd,Total_cost_usd,Social_value_per_visit,Social_value_usd,Roi,Cumulative_visits,Region_lat,Region_lon
2493,2025-01-12,2025-01,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,HIV Testing,15-24,Female,4,80,31 ,111 ,300 ,"1,200 ",9.8 ,4,9.032,38.7469
4458,2025-02-06,2025-02,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Post-abortion Care,35-44,Female,3,180,72 ,252 ,"1,500 ","4,500 ",16.9 ,7,9.032,38.7469
6464,2025-03-13,2025-03,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,HIV Testing,35-44,Male,5,100,39 ,139 ,300 ,"1,500 ",9.8 ,12,9.032,38.7469
1518,2025-03-15,2025-03,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Child Immunization,35-44,Male,15,180,336 ,516 ,250 ,"3,750 ",6.3 ,27,9.032,38.7469
5004,2025-04-28,2025-04,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Post-abortion Care,25-34,Female,2,120,30 ,150 ,"1,500 ","3,000 ",18.9 ,29,9.032,38.7469
6028,2025-05-24,2025-05,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Family Planning,35-44,Male,5,75,128 ,203 ,120 ,600 ,2.0 ,34,9.032,38.7469
949,2025-07-03,2025-07,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Malaria Prevention,45+,Male,7,56,90 ,146 ,180 ,"1,260 ",7.6 ,41,9.032,38.7469
7129,2025-07-06,2025-07,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,HIV Testing,45+,Male,2,40,16 ,56 ,300 ,600 ,9.6 ,43,9.032,38.7469
1721,2025-07-17,2025-07,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Child Immunization,45+,Female,13,156,325 ,481 ,250 ,"3,250 ",5.8 ,56,9.032,38.7469
1350,2025-07-19,2025-07,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,HIV Testing,15-24,Female,7,140,208 ,348 ,300 ,"2,100 ",5.0 ,63,9.032,38.7469
6841,2025-07-19,2025-07,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Post-abortion Care,35-44,Male,5,300,27 ,327 ,"1,500 ","7,500 ",21.9 ,68,9.032,38.7469
8051,2025-09-09,2025-09,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Maternal Health,45+,Female,5,225,41 ,266 ,800 ,"4,000 ",14.0 ,73,9.032,38.7469
8256,2025-11-01,2025-11,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,HIV Testing,25-34,Female,10,200,98 ,298 ,300 ,"3,000 ",9.1 ,83,9.032,38.7469
5045,2025-11-27,2025-11,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Child Immunization,35-44,Male,18,216,226 ,442 ,250 ,"4,500 ",9.2 ,101,9.032,38.7469
6904,2025-12-13,2025-12,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Child Immunization,45+,Female,9,108,143 ,251 ,250 ,"2,250 ",8.0 ,110,9.032,38.7469
6266,2026-01-22,2026-01,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Child Immunization,35-44,Female,17,204,268 ,472 ,250 ,"4,250 ",8.0 ,127,9.032,38.7469
1834,2026-01-31,2026-01,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Malaria Prevention,15-24,Male,6,48,93 ,141 ,180 ,"1,080 ",6.7 ,133,9.032,38.7469
4994,2026-03-19,2026-03,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Maternal Health,25-34,Female,15,675,443 ,"1,118 ",800 ,"12,000 ",9.7 ,148,9.032,38.7469
